City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fale old settlement,-9.3852,-171.2468,27.93,74,28,3.45,TK,1730644858
1,pacific grove,36.6177,-121.9166,12.83,92,0,9.39,US,1730644859
2,margaret river,-33.95,115.0667,12.1,79,2,2.83,AU,1730644860
3,port elizabeth,-33.918,25.5701,22.16,82,20,5.66,ZA,1730644862
4,punta arenas,-53.15,-70.9167,11.06,58,75,7.72,CL,1730644580
5,port-aux-francais,-49.35,70.2167,5.34,83,20,9.68,TF,1730644864
6,tiksi,71.6872,128.8694,-23.13,100,100,1.84,RU,1730644865
7,bilibino,68.0546,166.4372,-24.21,96,93,3.26,RU,1730644866
8,ruidoso,33.3317,-105.673,9.08,40,0,5.14,US,1730644800
9,iqaluit,63.7506,-68.5145,-6.15,85,75,3.09,CA,1730644868
10,saint-joseph,-21.3667,55.6167,24.21,85,42,2.4,RE,1730644872
11,grytviken,-54.2811,-36.5092,-0.09,78,89,10.82,GS,1730644873
12,enewetak,11.3474,162.3373,28.14,78,18,1.83,MH,1730644874
13,thompson,55.7435,-97.8558,-2.91,93,100,2.06,CA,1730644670
14,nar'yan-mar,67.6713,53.087,-6.02,91,100,4.14,RU,1730644877
15,hastings,50.8552,0.5729,12.1,44,31,5.17,GB,1730644717
16,minas de marcona,-15.2119,-75.1103,20.82,56,36,4.27,PE,1730644879
17,horizon city,31.6926,-106.2075,16.76,38,30,7.23,US,1730644880
18,al ghayzah,16.2079,52.176,28.18,68,1,4.44,YE,1730644881
19,invercargill,-46.4,168.35,10.57,65,100,4.47,NZ,1730644882
20,port mathurin,-19.6833,63.4167,23.78,81,56,6.62,MU,1730644883
21,adamstown,-25.066,-130.1015,20.29,75,43,4.49,PN,1730644884
22,inarajan village,13.2736,144.7484,26.54,93,100,3.42,GU,1730644885
23,puerto natales,-51.7236,-72.4875,10.25,66,20,2.06,CL,1730644887
24,hithadhoo,-0.6,73.0833,28.02,69,27,5.53,MV,1730644888
25,qamdo,31.1667,97.2333,4.29,47,100,1.5,CN,1730644889
26,albany,42.6001,-73.9662,4.8,66,6,0.89,US,1730644831
27,alice springs,-23.7,133.8833,34.75,18,40,2.57,AU,1730644891
28,phek,25.6667,94.5,14.94,94,1,0.62,IN,1730644892
29,massenya,11.4039,16.1705,34.71,17,91,3.39,TD,1730644893
30,princeton,25.5384,-80.4089,28.34,72,0,9.77,US,1730644894
31,tazacorte,28.629,-17.9293,24.54,96,20,2.57,ES,1730644895
32,waitangi,-43.9535,-176.5597,9.3,59,39,10.99,NZ,1730644896
33,ilulissat,69.2167,-51.1,-3.99,68,20,6.17,GL,1730644897
34,sault ste. marie,46.5168,-84.3333,6.16,87,0,3.09,CA,1730644899
35,utrik,11.2278,169.8474,27.59,81,100,7.47,MH,1730644900
36,saipan,15.1355,145.701,28.39,78,40,0.0,MP,1730644901
37,papatowai,-46.5619,169.4708,7.8,75,100,2.23,NZ,1730644902
38,jamestown,42.097,-79.2353,6.12,67,0,1.54,US,1730644903
39,bethel,41.3712,-73.414,7.23,61,0,1.54,US,1730644904
40,grand falls-windsor,48.9332,-55.6649,3.06,77,100,0.45,CA,1730644905
41,beas de segura,38.2524,-2.8888,21.76,41,9,2.5,ES,1730644906
42,north battleford,52.7834,-108.2847,-0.95,93,100,4.63,CA,1730644907
43,college,64.8569,-147.8028,-6.07,83,75,2.57,US,1730644908
44,yaroslavskiy,44.1683,132.2072,1.2,100,100,0.28,RU,1730644910
45,klyuchi,52.2667,79.1667,10.24,73,100,7.94,RU,1730644911
46,blackmans bay,-43.0167,147.3167,12.07,65,100,0.89,AU,1730644912
47,kamiiso,41.8167,140.65,5.21,87,5,2.57,JP,1730644913
48,yaren,-0.5472,166.916,28.53,66,44,3.07,NR,1730644914
49,bairnsdale,-37.8333,147.6167,9.19,90,71,1.79,AU,1730644915
50,hawaiian paradise park,19.5933,-154.9731,21.05,88,100,2.06,US,1730644916
51,wailua homesteads,22.0669,-159.378,24.44,90,0,6.69,US,1730644919
52,seinajoki,62.7945,22.8282,0.55,97,100,4.12,FI,1730644920
53,ilabaya,-17.4208,-70.5133,22.95,32,1,5.48,PE,1730644921
54,gadzhiyevo,69.2551,33.3362,-0.93,85,100,9.75,RU,1730644922
55,remire-montjoly,4.9167,-52.2667,32.02,62,100,6.69,GF,1730644923
56,stanley,54.868,-1.6985,10.66,89,75,0.0,GB,1730644924
57,saint-philippe,-21.3585,55.7679,23.8,86,57,3.27,RE,1730644925
58,linden,6.0,-58.3,34.91,42,84,2.1,GY,1730644926
59,sitka,57.0531,-135.33,8.94,76,75,8.23,US,1730644714
60,fort bragg,35.139,-79.006,15.93,71,0,4.63,US,1730644929
61,fiambala,-27.6871,-67.6149,24.59,42,17,4.1,AR,1730644930
62,pombas,17.1503,-25.0201,20.59,75,100,5.64,CV,1730644931
63,genhe,50.7833,121.5167,-12.11,97,18,0.59,CN,1730644932
64,kingston,17.997,-76.7936,31.53,70,20,0.51,JM,1730644634
65,chifeng,42.2683,118.9636,1.12,35,0,8.98,CN,1730644934
66,yatou,37.15,122.3833,14.44,81,99,2.83,CN,1730644935
67,calliope,-24.0,151.2,23.16,78,20,1.54,AU,1730644936
68,psachna,38.5833,23.6333,19.8,63,50,6.84,GR,1730644937
69,sayat,38.7839,63.8803,22.23,30,38,4.42,TM,1730644938
70,yellowknife,62.456,-114.3525,-3.1,95,75,3.6,CA,1730644775
71,olonkinbyen,70.9221,-8.7187,-1.01,68,99,5.05,SJ,1730644941
72,bredasdorp,-34.5322,20.0403,19.43,54,100,11.76,ZA,1730644942
73,vila franca do campo,37.7167,-25.4333,21.23,99,61,10.43,PT,1730644943
74,marabba,12.35,32.1833,33.83,14,58,4.45,SD,1730644946
75,la ronge,55.1001,-105.2842,1.14,100,100,3.09,CA,1730644947
76,gualeguay,-33.1416,-59.3097,27.32,33,37,6.8,AR,1730644948
77,coquimbo,-29.9533,-71.3436,14.85,88,75,2.57,CL,1730644378
78,kidal,18.4411,1.4078,33.59,10,53,5.36,ML,1730644950
79,qaqortoq,60.7167,-46.0333,0.08,78,100,1.11,GL,1730644854
80,tofol,5.3248,163.0078,28.4,76,100,5.33,FM,1730644952
81,sydney,-33.8679,151.2073,23.61,69,100,0.0,AU,1730644482
82,kone,-21.0595,164.8658,21.4,84,100,1.1,NC,1730644955
83,twon-brass,4.3151,6.2418,27.42,76,17,3.5,NG,1730644956
84,carnarvon,-24.8667,113.6333,20.96,75,47,8.0,AU,1730644957
85,gatesville,31.4352,-97.7439,24.86,100,40,3.6,US,1730644958
86,vilyuysk,63.7553,121.6247,-21.4,100,89,1.26,RU,1730644959
87,kayyerkan,69.3786,87.7439,-11.58,91,99,4.09,RU,1730644960
88,vorkuta,67.5,64.0,-1.43,85,100,6.24,RU,1730644961
89,edinburgh of the seven seas,-37.0676,-12.3116,11.54,64,96,7.05,SH,1730644963
90,petropavlovsk-kamchatsky,53.0452,158.6483,-8.67,57,0,4.0,RU,1730644964
91,noosa heads,-26.3833,153.15,20.96,89,73,3.87,AU,1730644965
92,whitehorse,60.7161,-135.0538,-0.57,86,100,6.71,CA,1730644966
93,tela,15.7833,-87.45,24.97,94,100,0.0,HN,1730644967
94,juan griego,11.0817,-63.9655,30.07,74,79,5.66,VE,1730644968
95,lospalos,-8.5186,127.0025,23.11,90,96,2.0,TL,1730644969
96,mount pearl,47.5166,-52.7813,5.25,64,56,1.34,CA,1730644970
97,la passe,45.5549,-0.8967,19.38,65,5,2.34,FR,1730644972
98,bandon,51.7469,-8.7425,13.77,76,93,3.24,IE,1730644973
99,veracruz,19.3333,-96.6667,23.06,87,20,0.73,MX,1730644974
100,ausa,41.9271,2.2497,20.6,74,59,0.45,ES,1730644975
101,siracusa,37.0881,15.2792,19.9,67,6,3.46,IT,1730644976
102,belomorsk,64.5232,34.7668,-2.91,70,24,2.38,RU,1730644977
103,mahina,-17.5065,-149.489,22.64,78,0,2.06,PF,1730644978
104,korla,41.7597,86.1469,11.04,46,1,1.26,CN,1730644980
105,fisterra,42.9049,-9.2629,18.12,71,2,1.23,ES,1730644981
106,iwanai,42.9744,140.5089,4.71,86,89,2.09,JP,1730644754
107,harstad,68.799,16.5293,1.2,83,100,15.2,NO,1730644983
108,longyearbyen,78.2186,15.6401,-1.09,80,75,5.66,SJ,1730644984
109,gallup,35.5281,-108.7426,1.91,80,100,4.63,US,1730644985
110,tazovsky,67.4667,78.7,-4.65,94,100,11.99,RU,1730644986
111,dunedin,-45.8742,170.5036,7.67,72,100,2.68,NZ,1730644987
112,kiruna,67.8557,20.2251,-3.49,68,0,5.14,SE,1730644988
113,mount gambier,-37.8333,140.7667,12.42,63,99,2.36,AU,1730644989
114,amguri,26.8,94.5333,22.02,92,0,1.34,IN,1730644991
115,lorengau,-2.0226,147.2712,27.33,77,6,1.49,PG,1730644992
116,balotra,25.8333,72.2333,31.0,25,0,2.12,IN,1730644994
117,kapa'a,22.0752,-159.319,25.18,89,0,6.69,US,1730644945
118,bonthe,7.5264,-12.505,29.96,63,66,3.97,SL,1730644996
119,lompoc,34.6391,-120.4579,10.94,79,0,4.63,US,1730644997
120,hadibu,12.65,54.0333,27.02,79,37,2.6,YE,1730644998
121,kourou,5.1552,-52.6478,31.94,56,14,4.26,GF,1730644999
122,nuuk,64.1835,-51.7216,-2.66,80,20,5.66,GL,1730645000
123,prince george,53.9166,-122.753,0.9,99,100,5.66,CA,1730645001
124,kargopol',61.5071,38.9456,-3.54,90,24,1.92,RU,1730645002
125,polyarnyy,69.1989,33.4478,-0.98,83,100,9.4,RU,1730645005
126,singaparna,-7.3515,108.111,23.07,92,100,0.57,ID,1730645006
127,isafjordur,66.0755,-23.124,11.02,66,100,8.75,IS,1730645007
128,ifaki,7.7894,5.2485,28.42,57,86,2.27,NG,1730645008
129,san andres,12.5847,-81.7006,28.01,89,20,1.54,CO,1730645009
130,hami,42.8,93.45,8.91,36,10,2.03,CN,1730644753
131,mejit,10.2753,170.8646,27.1,82,100,8.36,MH,1730645011
132,peniche,39.3558,-9.3811,22.34,73,100,3.54,PT,1730645012
133,babu,24.4167,111.5167,21.42,77,100,1.24,CN,1730645013
134,avarua,-21.2078,-159.775,23.03,83,20,3.09,CK,1730645015
135,rabo de peixe,37.8,-25.5833,20.73,99,40,9.26,PT,1730645016
136,new norfolk,-42.7826,147.0587,12.73,75,100,2.94,AU,1730645017
137,ribeira grande,38.5167,-28.7,22.1,73,40,7.2,PT,1730645018
138,buon ma thuot,12.6667,108.05,21.04,95,97,2.82,VN,1730645019
139,hamilton,39.1834,-84.5333,13.06,64,40,2.57,US,1730645020
140,st. john's,47.5649,-52.7093,5.71,65,49,2.24,CA,1730644877
141,san patricio,28.017,-97.5169,25.97,67,1,8.52,US,1730645022
142,lihue,21.9789,-159.3672,24.77,84,0,6.69,US,1730645023
143,lebu,-37.6167,-73.65,13.67,71,100,7.24,CL,1730645024
144,machina,13.1364,10.0492,32.79,11,97,5.91,NG,1730645026
145,brejo da madre de deus,-8.1458,-36.3711,32.16,27,4,5.39,BR,1730645027
146,cozumel,20.5083,-86.9458,28.3,78,20,2.57,MX,1730644904
147,queenstown,-31.8976,26.8753,24.79,45,97,1.54,ZA,1730645029
148,bunia,1.5667,30.25,22.16,76,100,2.23,CD,1730645030
149,pingliang,35.5392,106.6861,9.04,50,100,1.98,CN,1730644753
150,iskateley,67.6803,53.1512,-5.85,91,100,4.18,RU,1730645032
151,dolores,-36.3132,-57.6792,22.52,37,90,5.91,AR,1730645034
152,sao joao da barra,-21.6403,-41.0511,28.05,81,100,6.08,BR,1730645035
153,nagqu,31.5,92.0,-0.12,27,100,2.09,CN,1730645036
154,nanping,26.645,118.1736,21.3,85,99,0.82,CN,1730645037
155,gazli,40.1333,63.45,19.56,37,93,4.26,UZ,1730645038
156,ust-nera,64.5667,143.2,-23.87,100,99,2.23,RU,1730645039
157,haiku-pauwela,20.9219,-156.3051,22.33,81,40,4.92,US,1730645040
158,keita,14.7551,5.7749,32.3,12,96,6.63,NE,1730645041
159,hermanus,-34.4187,19.2345,19.33,73,100,11.13,ZA,1730645042
160,ushuaia,-54.8,-68.3,10.81,58,75,4.63,AR,1730645043
161,juneau,58.3019,-134.4197,6.0,95,100,7.2,US,1730645044
162,labytnangi,66.6572,66.4183,-1.05,96,100,10.18,RU,1730645045
163,zouerate,22.7187,-12.4521,33.09,12,2,2.55,MR,1730645047
164,kontcha,7.9667,12.2333,31.85,32,100,2.18,CM,1730645048
165,arraial do cabo,-22.9661,-42.0278,27.98,74,40,9.77,BR,1730645049
166,sibanicu,21.235,-77.5264,29.28,60,49,8.47,CU,1730645050
167,sorong,-0.8833,131.25,26.09,85,71,3.78,ID,1730645051
168,smithers,54.7804,-127.1743,0.18,93,75,0.0,CA,1730645052
169,namibe,-15.1961,12.1522,22.66,70,56,5.04,AO,1730645053
170,atafu village,-8.5421,-172.5159,28.09,69,97,3.08,TK,1730645054
171,argostolion,38.1811,20.489,23.04,50,20,3.09,GR,1730645055
172,alibag,18.6411,72.8792,28.38,71,6,2.47,IN,1730645056
173,kampene,-3.6,26.6667,24.39,90,93,1.14,CD,1730645057
174,egersund,58.4513,5.9997,11.43,97,100,7.44,NO,1730645059
175,karratha,-20.7377,116.8463,32.47,32,9,5.85,AU,1730645060
176,port saint john's,-31.6229,29.5448,21.19,90,100,5.07,ZA,1730645061
177,viedma,-40.8135,-62.9967,23.35,21,100,10.67,AR,1730645005
178,nadi,-17.8,177.4167,24.0,83,20,2.57,FJ,1730645063
179,qarauyl,48.9451,79.255,7.52,65,92,6.25,KZ,1730645064
180,masally,39.0,48.6667,14.23,76,99,2.85,AZ,1730645065
181,khovd,48.0056,91.6419,-1.56,52,12,0.57,MN,1730645066
182,keflavik,64.0049,-22.5624,10.24,100,100,10.8,IS,1730645067
183,grand prairie,32.746,-96.9978,23.69,87,100,7.2,US,1730644887
184,buala,-8.145,159.5921,26.16,85,74,1.45,SB,1730645069
185,kapuskasing,49.4169,-82.4331,2.05,100,75,4.12,CA,1730645071
186,shuya,56.8487,41.3883,-3.0,89,69,2.62,RU,1730645072
187,coari,-4.085,-63.1414,37.83,29,100,1.83,BR,1730645073
188,san antonio de pale,-1.4014,5.6325,25.53,81,48,5.76,GQ,1730645074
189,villa de soto,-30.8552,-64.9995,23.48,39,94,5.53,AR,1730645075
190,mount isa,-20.7333,139.5,20.87,28,5,2.06,AU,1730645076
191,tralee,52.2704,-9.7026,14.14,82,100,5.14,IE,1730645078
192,ola,59.5833,151.2833,-11.56,72,81,5.62,RU,1730645080
193,codrington,-38.2667,141.9667,13.65,54,100,6.5,AU,1730645081
194,bechar,31.6167,-2.2167,20.18,42,40,3.09,DZ,1730645082
195,betio village,1.358,172.9211,27.02,72,100,2.31,KI,1730645083
196,santo antonio do ica,-3.1022,-67.9397,29.19,70,100,1.05,BR,1730645084
197,cabo san lucas,22.8909,-109.9124,22.09,60,64,3.58,MX,1730645085
198,afaahiti,-17.75,-149.2833,23.8,72,21,1.61,PF,1730645086
199,udachny,66.4167,112.4,-28.84,100,49,0.93,RU,1730645087
200,kattivakkam,13.2167,80.3167,29.52,87,3,3.65,IN,1730645088
201,sandpoint,48.2766,-116.5533,3.92,96,100,3.09,US,1730645090
202,selfoss,63.9331,-20.9971,6.5,98,100,2.97,IS,1730645091
203,jiexiu,37.0244,111.9125,10.34,34,61,2.14,CN,1730645092
204,caconda,-13.7333,15.0667,18.96,70,100,1.49,AO,1730645093
205,papao,-17.75,-149.55,21.82,70,26,0.42,PF,1730645094
206,dudinka,69.4058,86.1778,-8.2,87,85,5.8,RU,1730645095
207,berriozar,42.8429,-1.6697,19.09,59,40,5.14,ES,1730645096
208,koulikoro,14.0,-7.75,35.31,17,73,2.91,ML,1730645097
209,puerto ayora,-0.7393,-90.3518,21.35,67,77,4.75,EC,1730645098
210,kodiak,57.79,-152.4072,3.73,65,0,2.57,US,1730645099
211,mil'kovo,55.6078,37.7956,1.3,49,100,4.54,RU,1730645100
212,saint-pierre,-21.3393,55.4781,24.82,73,0,1.54,RE,1730645102
213,anadyr,64.75,177.4833,-9.72,72,0,8.0,RU,1730645030
214,susuman,62.7833,148.1667,-21.12,99,98,1.61,RU,1730645104
215,dazhou,31.2159,107.5009,18.4,69,100,0.5,CN,1730645105
216,bodaybo,57.8506,114.1933,-5.89,95,100,2.18,RU,1730645106
217,bocana de paiwas,12.7857,-85.1227,25.96,83,32,1.12,NI,1730645107
218,tarakan,3.3,117.6333,28.21,71,74,1.75,ID,1730645108
219,tual,-5.6667,132.75,28.62,69,100,6.46,ID,1730645110
220,rio grande,-32.035,-52.0986,23.43,84,100,3.93,BR,1730645111
221,crane,31.3974,-102.3501,20.1,37,18,3.71,US,1730645112
222,fortuna,40.5982,-124.1573,11.07,96,75,5.66,US,1730645113
223,chibougamau,49.9168,-74.3659,-3.21,86,100,3.09,CA,1730645114
224,vorgashor,67.5833,63.95,-1.46,84,100,6.79,RU,1730645115
225,westport,41.1415,-73.3579,8.22,58,0,6.17,US,1730645051
226,castillos,-34.1667,-53.8333,20.42,73,100,5.4,UY,1730645118
227,hassi messaoud,31.6804,6.0729,28.92,32,40,6.17,DZ,1730645119
228,argo,37.6333,22.7333,18.52,61,53,5.38,GR,1730645120
229,west island,-12.1568,96.8225,26.99,83,100,7.2,CC,1730645121
230,oltinko'l,40.8011,72.1634,16.48,39,48,1.15,UZ,1730645123
231,hegang,47.4,130.3667,-1.11,77,100,1.0,CN,1730645125
232,kitimat,54.0524,-128.6534,6.62,32,100,2.54,CA,1730645126
233,santa marta,11.2408,-74.199,29.03,75,40,4.12,CO,1730645032
234,puerto baquerizo moreno,-0.9,-89.6,20.24,72,79,5.08,EC,1730645128
235,salinas,36.6777,-121.6555,13.06,87,0,4.63,US,1730645084
236,bamboo flat,11.7,92.7167,26.98,80,64,2.29,IN,1730645130
237,dwarka,22.2394,68.9678,28.68,57,0,3.3,IN,1730645131
238,chonchi,-42.6128,-73.8092,10.62,57,85,4.28,CL,1730645132
239,bettiah,26.8,84.5,26.59,60,4,1.12,IN,1730645133
240,sinazongwe,-17.2614,27.4618,33.1,37,2,3.95,ZM,1730645135
241,constantia,44.1833,28.65,8.38,33,7,2.62,RO,1730645061
242,thunder bay,48.4001,-89.3168,-0.01,100,100,1.03,CA,1730645137
243,namdrik,5.5994,168.1028,27.5,77,100,2.19,MH,1730645138
244,hobyo,5.3505,48.5268,27.2,78,54,5.67,SO,1730645139
245,oak bay,48.4496,-123.3026,8.73,90,20,4.63,CA,1730645140
246,prado,-17.3411,-39.2208,27.01,67,70,4.55,BR,1730645141
247,sai buri,6.7013,101.6168,26.28,85,81,1.95,TH,1730645142
248,khash,28.2211,61.2158,23.48,17,0,3.33,IR,1730645143
249,kavaratti,10.5669,72.642,28.43,76,49,2.49,IN,1730645144
250,taltal,-25.4,-70.4833,17.22,72,42,2.9,CL,1730645145
251,berdigestyakh,62.0989,126.6992,-18.37,99,100,0.94,RU,1730645147
252,ad darbasiyah,37.0728,40.652,16.22,77,75,1.03,SY,1730645148
253,bafq,31.6128,55.4107,25.87,22,1,2.36,IR,1730645149
254,mega,4.05,38.3,19.45,66,40,4.3,ET,1730645150
255,puerto deseado,-47.7503,-65.8938,17.4,30,25,15.45,AR,1730644871
256,falun,60.6036,15.626,11.23,66,100,2.24,SE,1730645153
257,kukmor,56.1855,50.8944,-1.46,64,100,7.46,RU,1730645154
258,monrovia,6.3005,-10.7969,29.05,68,32,4.41,LR,1730645155
259,marand,38.4329,45.7749,12.17,76,100,2.25,IR,1730645157
260,chilliwack,49.1747,-121.9443,7.03,96,100,0.51,CA,1730644738
261,pasuquin,18.3328,120.6177,25.97,83,20,1.03,PH,1730645159
262,ancud,-41.8697,-73.8203,10.15,86,100,7.03,CL,1730644879
263,kandhkot,28.244,69.1824,29.96,19,0,1.97,PK,1730645161
264,bikenibeu village,1.3673,173.1241,26.98,89,75,0.51,KI,1730645162
265,changji,44.0167,87.3167,7.44,81,0,2.0,CN,1730645163
266,enriquillo,17.9,-71.2333,28.36,70,30,3.38,DO,1730645164
267,nova sintra,14.8667,-24.7167,25.75,82,32,10.0,CV,1730645166
268,east ballina,-28.8667,153.5833,20.23,90,58,5.7,AU,1730645168
269,nova vicosa,-17.8919,-39.3719,27.81,63,100,3.96,BR,1730645169
270,altay,47.8667,88.1167,-0.36,69,63,3.46,CN,1730645170
271,north bend,43.4065,-124.2243,9.59,100,100,2.57,US,1730645171
272,lhasa,29.65,91.1,9.26,37,100,2.52,CN,1730645172
273,weno,7.4515,151.8468,28.97,79,75,3.09,FM,1730645173
274,martapura,-3.4167,114.85,25.05,94,40,0.0,ID,1730645175
275,pisco,-13.7,-76.2167,21.12,73,0,3.6,PE,1730645177
